Implementation,MessageSize,Threads,TotalBytes,Throughput_Gbps,Cycles,CacheMisses,ContextSwitches
A1,64,1,157075808,0.125661,8090592279,5249556,872
A1,64,2,336683448,0.269347,67886693186,20093151,1065
A1,64,4,647235088,0.517788,120680708878,24607820,1125
A1,64,8,1093173288,0.874539,259115906082,3538466,2364
A1,512,1,1352747200,1.082198,10514105885,41024946,278
A1,512,2,2954726208,2.363781,52721919288,111208561,707
A1,512,4,6476827392,5.181462,119826655135,35415188,572
A1,512,8,15629871168,12.503897,258864926787,5812446,2599
A1,4096,1,14949776384,11.959821,17101603226,41730966,35
A1,4096,2,32117791744,25.694233,38650007567,68761699,1451
A1,4096,4,59390031360,47.512025,117446251655,58835425,1037
A1,4096,8,98394921472,78.715937,255554820042,11229308,5298
A1,65536,1,78712602571,62.970082,17137236889,92152276,793
A1,65536,2,152003223446,121.602579,52010364357,101334653,2259
A1,65536,4,291488342016,233.190674,127435866414,198144683,1933
A1,65536,8,213044355019,170.435484,193933464338,401465360,23661
A2,64,1,1510800640,1.208641,14019239288,111883618,123
A2,64,2,3066413056,2.453130,17604530133,17387273,1059
A2,64,4,6235953280,4.988763,120781701211,50240014,977
A2,64,8,9711041408,7.768833,252974855599,5103976,3237
A2,512,1,10189281280,8.151425,22821717950,23336061,1397
A2,512,2,20297352704,16.237882,42147815446,36914720,537
A2,512,4,42887770624,34.310216,115863290254,50836353,777
A2,512,8,68675243520,54.940195,251764869553,12089152,3626
A2,4096,1,46865207296,37.492166,8812719583,15055304,874
A2,4096,2,89980690432,71.984552,22520824851,40055190,867
A2,4096,4,188189577216,150.551662,127027685390,48224821,798
A2,4096,8,294219386880,235.375510,252326062060,18944648,4412
A2,65536,1,94494195712,75.595357,3758198895,14010351,1238
A2,65536,2,172475678720,137.980543,45069577346,45713775,765
A2,65536,4,357982011392,286.385609,130548729293,99521525,1996
A2,65536,8,134166085632,107.332869,165115960054,460012926,28372
A3,64,1,325767872,0.260614,23534765105,16187188,722
A3,64,2,630501696,0.504401,25512527387,64511600,511
A3,64,4,1274803152,1.019843,124049676816,36807824,839
A3,64,8,1763273720,1.410619,249324989309,8849472,3975
A3,512,1,2590952000,2.072762,11012461776,18338502,1002
A3,512,2,5070190400,4.056152,54948800884,27825618,847
A3,512,4,10106772736,8.085418,128932696286,29005647,2483
A3,512,8,14021752576,11.217402,248410655113,15829334,8523
A3,4096,1,17936043520,14.348835,28262977189,31466232,1701
A3,4096,2,34481282048,27.585026,49983330464,18943808,2009
A3,4096,4,67755070464,54.204056,118060050738,39986217,3364
A3,4096,8,98414412288,78.731530,248738632756,27019343,9020
A3,65536,1,78798192640,63.038554,21536307196,49521502,1135
A3,65536,2,149417754624,119.534204,51497962465,80371672,804
A3,65536,4,289243332608,231.394666,124126319212,180218141,1587
A3,65536,8,98372157228,78.697726,24626150709,31332009,144488
